* RCK derivative values
* time_minute  dRCK_dt
46.883333  0.01646348
46.900000  0.01653055
46.916667  0.01659745
46.933333  0.01666420
46.950000  0.01673079
46.966667  0.01679723
46.983333  0.01686351
47.000000  0.01692964
47.016667  0.01699561
47.033333  0.01706143
47.050000  0.01712709
47.066667  0.01719259
47.083333  0.01725794
47.100000  0.01732313
47.116667  0.01738817
47.133333  0.01745305
47.150000  0.01751778
47.166667  0.01758235
47.183333  0.01764676
47.200000  0.01771102
47.216667  0.01777513
47.233333  0.01783907
47.250000  0.01790287
47.266667  0.01796650
47.283333  0.01802998
47.300000  0.01809331
47.316667  0.01815648
47.333333  0.01821949
47.350000  0.01828235
47.366667  0.01834505
47.383333  0.01840760
47.400000  0.01846999
47.416667  0.01853222
47.433333  0.01859430
47.450000  0.01865623
47.466667  0.01871800
47.483333  0.01877961
47.500000  0.01884107
47.516667  0.01890237
47.533333  0.01896351
47.550000  0.01902450
47.566667  0.01908534
47.583333  0.01914602
47.600000  0.01920654
47.616667  0.01926691
47.633333  0.01932712
47.650000  0.01938718
47.666667  0.01944708
47.683333  0.01950682
47.700000  0.01956641
47.716667  0.01962584
47.733333  0.01968512
47.750000  0.01974424
47.766667  0.01980321
47.783333  0.01986202
47.800000  0.01992068
47.816667  0.01997918
47.833333  0.02003752
47.850000  0.02009571
47.866667  0.02015374
47.883333  0.02021162
47.900000  0.02026934
47.916667  0.02032690
47.933333  0.02038431
47.950000  0.02044157
47.966667  0.02049867
47.983333  0.02055561
48.000000  0.02061240
48.016667  0.02066903
48.033333  0.02072550
48.050000  0.02078182
48.066667  0.02083799
48.083333  0.02089400
48.100000  0.02094985
48.116667  0.02100555
48.133333  0.02106109
48.150000  0.02111648
48.166667  0.02117171
48.183333  0.02122678
48.200000  0.02128170
48.216667  0.02133646
48.233333  0.02139107
48.250000  0.02144552
48.266667  0.02149982
48.283333  0.02155396
48.300000  0.02160795
48.316667  0.02166178
48.333333  0.02171545
48.350000  0.02176897
48.366667  0.02182233
48.383333  0.02187554
48.400000  0.02192859
48.416667  0.02198149
48.433333  0.02203423
48.450000  0.02208681
48.466667  0.02213924
48.483333  0.02219151
48.500000  0.02224363
48.516667  0.02229559
48.533333  0.02234740
48.550000  0.02239905
48.566667  0.02245054
48.583333  0.02250188
48.600000  0.02255306
48.616667  0.02260409
48.633333  0.02265496
48.650000  0.02270568
48.666667  0.02275624
48.683333  0.02280665
48.700000  0.02285690
48.716667  0.02290699
48.733333  0.02295693
48.750000  0.02300671
48.766667  0.02305634
48.783333  0.02310581
48.800000  0.02315512
48.816667  0.02320428
48.833333  0.02325329
48.850000  0.02330214
48.866667  0.02335083
48.883333  0.02339937
48.900000  0.02344775
48.916667  0.02349597
48.933333  0.02354404
48.950000  0.02359196
48.966667  0.02363972
48.983333  0.02368732
49.000000  0.02373477
49.016667  0.02378206
49.033333  0.02382920
49.050000  0.02387618
49.066667  0.02392300
49.083333  0.02396967
49.100000  0.02401618
49.116667  0.02406254
49.133333  0.02410874
49.150000  0.02415479
49.166667  0.02420068
49.183333  0.02424642
49.200000  0.02429200
49.216667  0.02433742
49.233333  0.02438269
49.250000  0.02442780
49.266667  0.02447276
49.283333  0.02451756
49.300000  0.02456220
49.316667  0.02460669
49.333333  0.02465103
49.350000  0.02469521
49.366667  0.02473923
49.383333  0.02478310
49.400000  0.02482681
49.416667  0.02487036
49.433333  0.02491376
49.450000  0.02495701
49.466667  0.02500010
49.483333  0.02504303
49.500000  0.02508581
49.516667  0.02512843
49.533333  0.02517090
49.550000  0.02521321
49.566667  0.02525536
49.583333  0.02529736
49.600000  0.02533921
49.616667  0.02538089
49.633333  0.02542243
49.650000  0.02546380
49.666667  0.02550502
49.683333  0.02554609
49.700000  0.02558700
49.716667  0.02562775
49.733333  0.02566835
49.750000  0.02570879
49.766667  0.02574908
49.783333  0.02578921
49.800000  0.02582919
49.816667  0.02586901
49.833333  0.02590867
49.850000  0.02594818
49.866667  0.02598753
49.883333  0.02602673
49.900000  0.02606577
49.916667  0.02610466
49.933333  0.02614339
49.950000  0.02618196
49.966667  0.02622038
49.983333  0.02625865
50.000000  0.02629675
50.016667  0.02633471
50.033333  0.02637250
50.050000  0.02641014
50.066667  0.02644763
50.083333  0.02648496
50.100000  0.02652213
50.116667  0.02655915
50.133333  0.02659601
50.150000  0.02663272
50.166667  0.02666927
50.183333  0.02670567
50.200000  0.02674191
50.216667  0.02677799
50.233333  0.02681392
50.250000  0.02684969
50.266667  0.02688531
50.283333  0.02692077
50.300000  0.02695608
50.316667  0.02699123
50.333333  0.02702622
50.350000  0.02706106
50.366667  0.02709574
50.383333  0.02713027
50.400000  0.02716464
50.416667  0.02719886
50.433333  0.02723292
50.450000  0.02726682
50.466667  0.02730057
50.483333  0.02733417
50.500000  0.02736760
50.516667  0.02740089
50.533333  0.02743401
50.550000  0.02746698
50.566667  0.02749980
50.583333  0.02753246
50.600000  0.02756496
50.616667  0.02759731
50.633333  0.02762950
50.650000  0.02766154
50.666667  0.02769342
50.683333  0.02772515
50.700000  0.02775672
50.716667  0.02778813
50.733333  0.02781939
50.750000  0.02785049
50.766667  0.02788144
50.783333  0.02791223
50.800000  0.02794287
50.816667  0.02797335
50.833333  0.02800367
50.850000  0.02803384
50.866667  0.02806386
50.883333  0.02809371
50.900000  0.02812342
50.916667  0.02815296
50.933333  0.02818235
50.950000  0.02821159
50.966667  0.02824067
50.983333  0.02826959
51.000000  0.02829836
51.016667  0.02832697
51.033333  0.02835543
51.050000  0.02838373
51.066667  0.02841187
51.083333  0.02843986
51.100000  0.02846770
51.116667  0.02849538
51.133333  0.02852290
51.150000  0.02855027
51.166667  0.02857748
51.183333  0.02860453
51.200000  0.02863143
51.216667  0.02865818
51.233333  0.02868477
51.250000  0.02871120
51.266667  0.02873748
51.283333  0.02876360
51.300000  0.02878956
51.316667  0.02881538
51.333333  0.02884103
51.350000  0.02886653
51.366667  0.02889187
51.383333  0.02891706
51.400000  0.02894209
51.416667  0.02896697
51.433333  0.02899169
51.450000  0.02901625
51.466667  0.02904066
51.483333  0.02906492
51.500000  0.02908902
51.516667  0.02911296
51.533333  0.02913675
51.550000  0.02916038
51.566667  0.02918385
